Alt+R 		最近打开的项目(文件/文件夹) (R-Recent)
Win+PrtSc 	打开抓图软件
Win+P 		启动Proxy (P-Proxy)
Ctrl+Win+D 	启动下载工具 (D-Download)
Ctrl+D 		打开下载目录 (D-Download)
Ctrl+Win+A 	启动文件搜索工具 (启动Everything)
Win+A 		打开文件搜索工具 (在Everything已运行的情况下)
Win+W 		运行词典 (W-Word)
Win+N 		打开文本编辑器 (N-Notepad++)
Win+H 		打开火狐浏览器 (H-Huohu)
Win+C 		打开Chrome浏览器 (C-Chrome)
Win+V 		打开Visual Studio (V-VisualStudio)
Win+I 		打开Source Insight (I-Insight)
Win+J 		打开Eclipse (J-Java)
Win+B 		打开PDF阅读器(B-book)
Win+K 		打开WizKnowledge(K-Knowledge)
Win+Q 		打开QQ(Q-QQ)
Win+X 		打开正则表达式测试工具 (X-RegExp)
